tripId,type,odometer,batteryVoltage,batteryCurrent,wheelRpm,throttle,timestamp,underVoltageLimit,overVoltageLimit,date,time
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:47,42.0,60.0,2020-09-24,10:02:47
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:49,42.0,60.0,2020-09-24,10:02:49
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:57,42.0,60.0,2020-09-24,10:02:57
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:48,42.0,60.0,2020-09-24,10:02:48
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:53,42.0,60.0,2020-09-24,10:02:53
6.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:02:36,42.0,60.0,2020-09-24,10:02:36
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:44,42.0,60.0,2020-09-24,10:02:44
20.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 12:05:45,42.0,60.0,2020-09-24,12:05:45
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:20,42.0,75.0,2020-09-24,13:16:20
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:17,42.0,75.0,2020-09-24,13:16:17
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:09,42.0,75.0,2020-09-24,13:16:09
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:07,42.0,75.0,2020-09-24,13:16:07
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:11,42.0,75.0,2020-09-24,13:16:11
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:12,42.0,75.0,2020-09-24,13:16:12
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:16,42.0,75.0,2020-09-24,13:16:16
39.0,1,90.0,66.81,1.44,582.0,100.0,2020-09-24 13:16:48,42.0,75.0,2020-09-24,13:16:48
39.0,1,121.0,67.04,0.0,105.0,0.0,2020-09-24 13:16:54,42.0,75.0,2020-09-24,13:16:54
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:29,42.0,75.0,2020-09-24,13:16:29
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:16:34,42.0,75.0,2020-09-24,13:16:34
39.0,1,23.0,66.35,3.96,94.0,95.0,2020-09-24 13:16:39,42.0,75.0,2020-09-24,13:16:39
39.0,1,122.0,66.93,0.0,0.0,0.0,2020-09-24 13:17:06,42.0,75.0,2020-09-24,13:17:06
39.0,1,20.0,67.04,0.0,0.0,0.0,2020-09-24 13:15:58,42.0,75.0,2020-09-24,13:15:58
42.0,1,619.0,66.93,0.0,0.0,0.0,2020-09-24 13:28:02,54.0,68.0,2020-09-24,13:28:02
42.0,1,619.0,66.93,0.0,0.0,0.0,2020-09-24 13:27:59,54.0,68.0,2020-09-24,13:27:59
42.0,1,619.0,67.04,0.0,0.0,0.0,2020-09-24 13:27:55,54.0,68.0,2020-09-24,13:27:55
44.0,1,863.0,66.93,0.0,0.0,0.0,2020-09-24 13:31:16,54.0,68.0,2020-09-24,13:31:16
44.0,1,877.0,66.93,0.0,446.0,0.0,2020-09-24 13:31:21,54.0,68.0,2020-09-24,13:31:21
50.0,1,3974.0,66.81,0.72,661.0,0.0,2020-09-25 07:47:39,54.0,68.0,2020-09-25,07:47:39
50.0,1,4003.0,66.81,0.0,63.0,0.0,2020-09-25 07:47:45,54.0,68.0,2020-09-25,07:47:45
55.0,1,6681.0,66.35,0.0,0.0,0.0,2020-09-25 12:07:31,54.0,68.0,2020-09-25,12:07:31
55.0,1,6682.0,66.35,0.0,21.0,18.0,2020-09-25 12:07:35,54.0,68.0,2020-09-25,12:07:35
55.0,1,6681.0,66.35,0.0,10.0,0.0,2020-09-25 12:07:11,54.0,68.0,2020-09-25,12:07:11
55.0,1,6686.0,66.35,0.0,0.0,0.0,2020-09-25 12:07:48,54.0,68.0,2020-09-25,12:07:48
55.0,1,6686.0,66.35,0.0,52.0,0.0,2020-09-25 12:07:42,54.0,68.0,2020-09-25,12:07:42
55.0,1,6681.0,66.35,0.0,0.0,0.0,2020-09-25 12:07:21,54.0,68.0,2020-09-25,12:07:21
55.0,1,6681.0,66.35,0.0,0.0,0.0,2020-09-25 12:07:23,54.0,68.0,2020-09-25,12:07:23
55.0,1,6686.0,66.35,0.0,0.0,0.0,2020-09-25 12:07:53,54.0,68.0,2020-09-25,12:07:53
55.0,1,6681.0,66.35,0.0,0.0,0.0,2020-09-25 12:07:33,54.0,68.0,2020-09-25,12:07:33
55.0,1,6687.0,64.05,16.96,15.0,23.0,2020-09-25 12:08:30,54.0,68.0,2020-09-25,12:08:30
55.0,1,6686.0,66.01,1.44,0.0,4.0,2020-09-25 12:08:28,54.0,68.0,2020-09-25,12:08:28
55.0,1,6686.0,66.35,0.0,0.0,0.0,2020-09-25 12:08:08,54.0,68.0,2020-09-25,12:08:08
55.0,1,6686.0,66.35,0.0,0.0,0.0,2020-09-25 12:08:01,54.0,68.0,2020-09-25,12:08:01
55.0,1,6686.0,66.35,0.0,0.0,0.0,2020-09-25 12:08:24,54.0,68.0,2020-09-25,12:08:24
55.0,1,8790.0,60.83,28.16,357.0,100.0,2020-09-25 12:14:26,54.0,68.0,2020-09-25,12:14:26
55.0,1,8724.0,65.09,0.0,393.0,0.0,2020-09-25 12:14:12,54.0,68.0,2020-09-25,12:14:12
55.0,1,8753.0,64.51,10.46,325.0,46.0,2020-09-25 12:14:18,54.0,68.0,2020-09-25,12:14:18
55.0,1,8649.0,61.18,27.8,477.0,100.0,2020-09-25 12:14:02,54.0,68.0,2020-09-25,12:14:02
55.0,1,8696.0,61.06,21.66,483.0,85.0,2020-09-25 12:14:08,54.0,68.0,2020-09-25,12:14:08
55.0,1,8710.0,64.97,5.04,472.0,38.0,2020-09-25 12:14:10,54.0,68.0,2020-09-25,12:14:10
55.0,1,8448.0,61.64,23.12,556.0,100.0,2020-09-25 12:13:32,54.0,68.0,2020-09-25,12:13:32
55.0,1,9625.0,65.32,2.16,236.0,9.0,2020-09-25 12:16:41,54.0,68.0,2020-09-25,12:16:41
55.0,1,9594.0,63.82,10.52,236.0,44.0,2020-09-25 12:16:34,54.0,68.0,2020-09-25,12:16:34
55.0,1,9607.0,64.4,10.82,278.0,44.0,2020-09-25 12:16:37,54.0,68.0,2020-09-25,12:16:37
55.0,1,9590.0,62.56,20.58,215.0,46.0,2020-09-25 12:16:33,54.0,68.0,2020-09-25,12:16:33
55.0,1,9616.0,61.41,26.36,283.0,59.0,2020-09-25 12:16:39,54.0,68.0,2020-09-25,12:16:39
55.0,1,9578.0,64.4,7.22,126.0,20.0,2020-09-25 12:16:28,54.0,68.0,2020-09-25,12:16:28
55.0,1,9557.0,65.32,0.36,315.0,0.0,2020-09-25 12:16:21,54.0,68.0,2020-09-25,12:16:21
55.0,1,9565.0,65.32,0.0,225.0,0.0,2020-09-25 12:16:24,54.0,68.0,2020-09-25,12:16:24
55.0,1,9579.0,64.86,14.44,99.0,5.0,2020-09-25 12:16:30,54.0,68.0,2020-09-25,12:16:30
55.0,1,9553.0,64.51,2.16,325.0,65.0,2020-09-25 12:16:20,54.0,68.0,2020-09-25,12:16:20
55.0,1,9531.0,61.75,25.28,299.0,58.0,2020-09-25 12:16:16,54.0,68.0,2020-09-25,12:16:16
55.0,1,9542.0,62.56,22.74,341.0,57.0,2020-09-25 12:16:18,54.0,68.0,2020-09-25,12:16:18
55.0,1,9527.0,61.52,24.56,220.0,60.0,2020-09-25 12:16:15,54.0,68.0,2020-09-25,12:16:15
55.0,1,9489.0,65.66,0.0,404.0,23.0,2020-09-25 12:16:07,54.0,68.0,2020-09-25,12:16:07
55.0,1,9438.0,65.09,2.16,551.0,71.0,2020-09-25 12:16:00,54.0,68.0,2020-09-25,12:16:00
55.0,1,9338.0,60.95,28.16,509.0,100.0,2020-09-25 12:15:48,54.0,68.0,2020-09-25,12:15:48
55.0,1,8389.0,62.21,19.86,519.0,86.0,2020-09-25 12:13:25,54.0,68.0,2020-09-25,12:13:25
55.0,1,8405.0,61.98,22.38,530.0,90.0,2020-09-25 12:13:27,54.0,68.0,2020-09-25,12:13:27
55.0,1,8421.0,61.41,24.92,546.0,97.0,2020-09-25 12:13:29,54.0,68.0,2020-09-25,12:13:29
55.0,1,8287.0,65.2,5.04,430.0,54.0,2020-09-25 12:13:11,54.0,68.0,2020-09-25,12:13:11
55.0,1,8348.0,61.18,27.8,493.0,100.0,2020-09-25 12:13:20,54.0,68.0,2020-09-25,12:13:20
55.0,1,8294.0,63.82,7.64,414.0,63.0,2020-09-25 12:13:12,54.0,68.0,2020-09-25,12:13:12
55.0,1,8245.0,65.2,0.36,483.0,58.0,2020-09-25 12:13:05,54.0,68.0,2020-09-25,12:13:05
55.0,1,8225.0,61.29,27.44,451.0,100.0,2020-09-25 12:13:02,54.0,68.0,2020-09-25,12:13:02
55.0,1,8253.0,65.35,12.58,462.0,73.0,2020-09-25 12:13:06,54.0,68.0,2020-09-25,12:13:06
55.0,1,8280.0,64.86,3.58,430.0,59.0,2020-09-25 12:13:10,54.0,68.0,2020-09-25,12:13:10
55.0,1,8210.0,65.32,0.36,446.0,25.0,2020-09-25 12:13:00,54.0,68.0,2020-09-25,12:13:00
55.0,1,8014.0,60.83,28.16,409.0,100.0,2020-09-25 12:12:31,54.0,68.0,2020-09-25,12:12:31
55.0,1,7971.0,64.63,9.38,504.0,71.0,2020-09-25 12:12:24,54.0,68.0,2020-09-25,12:12:24
55.0,1,8002.0,61.29,27.8,341.0,100.0,2020-09-25 12:12:29,54.0,68.0,2020-09-25,12:12:29
55.0,1,7991.0,65.32,0.0,351.0,20.0,2020-09-25 12:12:27,54.0,68.0,2020-09-25,12:12:27
55.0,1,7978.0,65.09,6.5,483.0,64.0,2020-09-25 12:12:25,54.0,68.0,2020-09-25,12:12:25
55.0,1,9234.0,65.43,0.36,409.0,32.0,2020-09-25 12:15:34,54.0,68.0,2020-09-25,12:15:34
55.0,1,9253.0,61.29,27.8,399.0,99.0,2020-09-25 12:15:37,54.0,68.0,2020-09-25,12:15:37
55.0,1,9228.0,65.32,0.0,456.0,0.0,2020-09-25 12:15:34,54.0,68.0,2020-09-25,12:15:34
55.0,1,9163.0,61.06,27.08,530.0,100.0,2020-09-25 12:15:25,54.0,68.0,2020-09-25,12:15:25
55.0,1,9106.0,61.18,27.08,304.0,97.0,2020-09-25 12:15:17,54.0,68.0,2020-09-25,12:15:17
55.0,1,9064.0,65.43,0.36,299.0,17.0,2020-09-25 12:15:07,54.0,68.0,2020-09-25,12:15:07
55.0,1,9029.0,65.32,0.72,372.0,46.0,2020-09-25 12:15:01,54.0,68.0,2020-09-25,12:15:01
55.0,1,8960.0,60.95,25.6,504.0,100.0,2020-09-25 12:14:51,54.0,68.0,2020-09-25,12:14:51
55.0,1,9018.0,63.25,13.36,404.0,65.0,2020-09-25 12:14:59,54.0,68.0,2020-09-25,12:14:59
55.0,1,8881.0,64.86,12.28,488.0,65.0,2020-09-25 12:14:40,54.0,68.0,2020-09-25,12:14:40
55.0,1,8874.0,61.64,13.36,493.0,92.0,2020-09-25 12:14:39,54.0,68.0,2020-09-25,12:14:39
55.0,1,8843.0,61.06,27.44,456.0,100.0,2020-09-25 12:14:35,54.0,68.0,2020-09-25,12:14:35
55.0,1,7933.0,62.56,17.34,441.0,74.0,2020-09-25 12:12:19,54.0,68.0,2020-09-25,12:12:19
55.0,1,7887.0,62.79,23.48,346.0,63.0,2020-09-25 12:12:12,54.0,68.0,2020-09-25,12:12:12
55.0,1,7829.0,64.74,1.44,199.0,38.0,2020-09-25 12:11:54,54.0,68.0,2020-09-25,12:11:54
55.0,1,7823.0,65.32,0.0,283.0,0.0,2020-09-25 12:11:52,54.0,68.0,2020-09-25,12:11:52
55.0,1,7838.0,65.32,0.36,94.0,0.0,2020-09-25 12:11:58,54.0,68.0,2020-09-25,12:11:58
55.0,1,7840.0,64.51,1.8,73.0,14.0,2020-09-25 12:11:59,54.0,68.0,2020-09-25,12:11:59
4.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 09:51:03,42.0,60.0,2020-09-24,09:51:03
4.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 09:51:03,42.0,60.0,2020-09-24,09:51:03
6.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:02:22,42.0,60.0,2020-09-24,10:02:22
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:02:25,42.0,60.0,2020-09-24,10:02:25
8.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:05:18,42.0,60.0,2020-09-24,10:05:18
8.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:05:23,42.0,60.0,2020-09-24,10:05:23
8.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:05:32,42.0,60.0,2020-09-24,10:05:32
8.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:05:26,42.0,60.0,2020-09-24,10:05:26
8.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:05:41,42.0,60.0,2020-09-24,10:05:41
38.0,1,0.0,67.04,0.0,0.0,100.0,2020-09-24 13:08:12,42.0,75.0,2020-09-24,13:08:12
38.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 13:08:14,42.0,75.0,2020-09-24,13:08:14
38.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 13:08:19,42.0,75.0,2020-09-24,13:08:19
38.0,1,11.0,67.04,0.0,0.0,0.0,2020-09-24 13:08:32,42.0,75.0,2020-09-24,13:08:32
38.0,1,11.0,67.04,0.0,0.0,0.0,2020-09-24 13:08:29,42.0,75.0,2020-09-24,13:08:29
40.0,1,177.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:26,42.0,75.0,2020-09-24,13:18:26
40.0,1,177.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:25,42.0,75.0,2020-09-24,13:18:25
40.0,1,189.0,66.93,0.0,309.0,0.0,2020-09-24 13:18:29,42.0,75.0,2020-09-24,13:18:29
40.0,1,177.0,66.47,3.6,78.0,100.0,2020-09-24 13:18:27,42.0,75.0,2020-09-24,13:18:27
40.0,1,196.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:37,42.0,75.0,2020-09-24,13:18:37
40.0,1,196.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:38,42.0,75.0,2020-09-24,13:18:38
40.0,1,196.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:40,42.0,75.0,2020-09-24,13:18:40
40.0,1,196.0,67.04,0.0,0.0,0.0,2020-09-24 13:18:46,42.0,75.0,2020-09-24,13:18:46
40.0,1,177.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:13,42.0,75.0,2020-09-24,13:18:13
40.0,1,177.0,66.93,0.0,0.0,0.0,2020-09-24 13:18:12,42.0,75.0,2020-09-24,13:18:12
42.0,1,350.0,66.93,0.72,231.0,0.0,2020-09-24 13:24:24,54.0,68.0,2020-09-24,13:24:24
42.0,1,358.0,67.04,0.36,0.0,17.0,2020-09-24 13:24:30,54.0,68.0,2020-09-24,13:24:30
42.0,1,358.0,66.93,0.0,0.0,0.0,2020-09-24 13:24:28,54.0,68.0,2020-09-24,13:24:28
42.0,1,358.0,66.93,0.36,157.0,0.0,2020-09-24 13:24:27,54.0,68.0,2020-09-24,13:24:27
42.0,1,352.0,66.93,0.36,225.0,0.0,2020-09-24 13:24:25,54.0,68.0,2020-09-24,13:24:25
42.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:24:07,54.0,68.0,2020-09-24,13:24:07
42.0,1,300.0,66.93,1.08,493.0,100.0,2020-09-24 13:24:13,54.0,68.0,2020-09-24,13:24:13
42.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:24:05,54.0,68.0,2020-09-24,13:24:05
42.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:24:10,54.0,68.0,2020-09-24,13:24:10
42.0,1,275.0,66.93,0.0,0.0,0.0,2020-09-24 13:23:56,54.0,68.0,2020-09-24,13:23:56
42.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:24:00,54.0,68.0,2020-09-24,13:24:00
42.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:23:55,54.0,68.0,2020-09-24,13:23:55
42.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:24:03,54.0,68.0,2020-09-24,13:24:03
42.0,1,377.0,66.93,0.72,257.0,51.0,2020-09-24 13:24:37,54.0,68.0,2020-09-24,13:24:37
42.0,1,387.0,66.81,1.08,325.0,67.0,2020-09-24 13:24:39,54.0,68.0,2020-09-24,13:24:39
42.0,1,326.0,66.93,0.36,252.0,0.0,2020-09-24 13:24:18,54.0,68.0,2020-09-24,13:24:18
42.0,1,342.0,66.93,0.36,231.0,0.0,2020-09-24 13:24:22,54.0,68.0,2020-09-24,13:24:22
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:31,42.0,60.0,2020-09-24,10:03:31
7.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:03:23,42.0,60.0,2020-09-24,10:03:23
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:24,42.0,60.0,2020-09-24,10:03:24
6.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:03:07,42.0,60.0,2020-09-24,10:03:07
7.0,1,0.0,67.04,0.0,0.0,0.0,2020-09-24 10:03:16,42.0,60.0,2020-09-24,10:03:16
6.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:03,42.0,60.0,2020-09-24,10:03:03
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:36,42.0,60.0,2020-09-24,10:03:36
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:40,42.0,60.0,2020-09-24,10:03:40
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:38,42.0,60.0,2020-09-24,10:03:38
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:37,42.0,60.0,2020-09-24,10:03:37
7.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:03:55,42.0,60.0,2020-09-24,10:03:55
10.0,1,0.0,66.93,0.0,0.0,0.0,2020-09-24 10:08:41,42.0,60.0,2020-09-24,10:08:41
41.0,1,275.0,66.93,0.0,0.0,0.0,2020-09-24 13:20:34,42.0,75.0,2020-09-24,13:20:34
41.0,1,275.0,66.93,0.0,0.0,0.0,2020-09-24 13:20:33,42.0,75.0,2020-09-24,13:20:33
41.0,1,275.0,67.04,0.0,0.0,0.0,2020-09-24 13:20:45,42.0,75.0,2020-09-24,13:20:45
42.0,1,538.0,66.93,0.36,199.0,0.0,2020-09-24 13:25:22,54.0,68.0,2020-09-24,13:25:22
42.0,1,553.0,66.93,0.0,0.0,0.0,2020-09-24 13:25:43,54.0,68.0,2020-09-24,13:25:43
